Vintage,Score,Drink Window,Description,Country,Region,Variety
2021,90,Drink or hold,"A cool and extremely difficult season marking a clear departure from the previous four warm vintages, with the coldest winter and spring in 40 years followed by a wet summer plagued by mildew and rot. After devastating summer flooding, the warm, dry fall brought relief, leading to many excellent, energetic wines, despite variable quality overall. The best versions offer finesse and aromatic purity, if not body and density; an acid-driven vintage, with structure and precision that bodes well for aging  Wittmann Riesling Rheinhessen Brunnenhäuschen GG  Top-scoring wines (click for full tasting note):


Nik Weis St.-Urbans-Hof Riesling Auslese Mosel Goldtröpfchen


Robert Weil Riesling Auslese Rheingau Kiedrich Gräfenberg


Wittmann Riesling Rheinhessen Brunnenhäuschen GG",Germany,Riesling,Riesling
2020,94,Drink or hold,"A warm winter and spring gave way to a very sunny summer, with many regions suffering from drought. Old vines fared better in these conditions, yet in general grapes achieved ideal ripeness, thanks to cool nights that preserved acidity and minerality, yielding many excellent dry wines, as well as kabinette and spätlesen, though few sweet wines could be made. Slightly more elegant than prior vintages, with moderate alcohol levels and great aging potential; also a very strong years for reds  Fritz Haag Riesling Auslese Mosel Juffer  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Beerenauslese Rheingau Kiedrich Gräfenberg


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Fritz Haag Riesling Auslese Mosel Juffer",Germany,Riesling,Riesling
2018,93,Drink or hold,"Favorable weather throughout the growing season delivered the largest harvest since 1999. Wines are richer and riper overall, with charming off-dry styles, approachable GGs and excellent dessert wines. Offers more drinkability than aging potential  Maximin Grünhaus Riesling Auslese Mosel Abtsberg Nr. 89  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Fritz Haag Riesling Trockenbeerenauslese Gold Cap Mosel Brauneberger Juffer


Maximin Grünhaus Riesling Auslese Mosel Abtsberg Nr. 89",Germany,Riesling,Riesling
2017,94,Drink or hold,"An early start to the season was followed by heavy frost, with summer warm and dry until August, when rain brought challenges. Yields are down, but top producers delivered balanced, ageworthy wines  Egon Müller Riesling Auslese Mosel Scharzhofberger  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Selbach-Oster Riesling Beerenauslese* Mosel Zeltinger Sonnenuhr


Egon Müller Riesling Auslese Mosel Scharzhofberger",Germany,Riesling,Riesling
2016,93,Drink or hold,"A hot, dry summer and good weather at harvest compensated for a damp spring, yielding aromatic, elegant and food-friendly wines; the best are supple and vibrant  Ökonomierat Rebholz Riesling Qualitätswein Dry Pfalz Im Sonnenschein GG  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Eiswein Rheingau Kiedrich Gräfenberg


Joh. Jos. Prüm Riesling Auslese Gold Cap Mosel Wehlener Sonnenuhr


Ökonomierat Rebholz Riesling Qualitätswein Dry Pfalz Im Sonnenschein GG",Germany,Riesling,Riesling
2015,96,Drink or hold,"Nearly perfect spring and summer weather, followed by a cooler autumn, resulted in ripe grapes that retained high acidity. Offers a full range from bone-dry to dessert style  C. von Schubert Riesling Beerenauslese Mosel Maximin Grünhäuser Abtsberg  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Schloss Lieser Riesling Trockenbeerenauslese Mosel Niederberg Helden


C. von Schubert Riesling Beerenauslese Mosel Maximin Grünhäuser Abtsberg",Germany,Riesling,Riesling
2014,91,Drink or hold,"Mostly cool and wet growing conditions led to a warm September and a short harvest, producing an average-size crop of racy and herbal-inflected whites  Joh. Jos. Prüm Riesling Auslese Gold Cap Mosel Graacher Himmelreich  Top-scoring wines (click for full tasting note):


Egon Müller Riesling Auslese Mosel Scharzhofberger


Gunderloch Riesling Auslese Rheinhessen Rothenberg


Joh. Jos. Prüm Riesling Auslese Gold Cap Mosel Graacher Himmelreich",Germany,Riesling,Riesling
2012,94,Drink or hold,"Vintners overcame a challenging vintage to deliver open-knit, fruity Rieslings supported by ripe acidity  (See all ratings)",Germany,Riesling,Riesling
2011,95,Drink or hold,"Ideal harvest conditions delivered fruit-forward, open-knit and balanced wines with opulent flavors and textures  (See all ratings)",Germany,Riesling,Riesling
2010,93,Drink or hold,Cool growing season led to wines full of acidity and dense flavors. Exceptionally low yields. Look to top producers  (See all ratings),Germany,Riesling,Riesling
2009,97,Drink or hold,"Warm, dry weather at harvest; exceptionally balanced wines, with plenty of pure fruit, minerality and creaminess. Powerful GGs that are drinking beautifully now  (See all ratings)",Germany,Riesling,Riesling
2008,92,Drink or hold,"Crisp, vibrant and light-weight Rieslings marked by juicy acidity and pure orchard, citrus and savory flavors; the wines today show more complexity than promised  (See all ratings)",Germany,Riesling,Riesling
2006,92,Drink or hold,"Opulent, charming but fleshy kabinett and spätlese; terrific auslese, BA and TBA, with clean botrytis; best in Mosel; fine dry wines  (See all ratings)",Germany,Riesling,Riesling
2005,98,Drink or hold,"Lush, ripe Rieslings at all quality levels; acidity, though low in some, balances richness in most  (See all ratings)",Germany,Riesling,Riesling
2004,91,Drink or hold,"Vibrant, sleek wines from kabinett to auslese, but little botrytis and few late-harvest wines; fine Mosel and Nahe examples  (See all ratings)",Germany,Riesling,Riesling
2003,94,Drink or hold,"Ripe, opulent wines; best in Mosel, Nahe and Rheingau. Terrific BA and TBA, though not much botrytis  (See all ratings)",Germany,Riesling,Riesling
2002,93,Drink or hold,"The best are charming, juicy wines, from kabinett to auslese.  Pfalz and Rheingau excelled  (See all ratings)",Germany,Riesling,Riesling
2001,98,Drink or hold,"Best vintage since 1971. Ripe, healthy grapes made pure, harmonious wines at all quality levels; best in middle Mosel  (See all ratings)",Germany,Riesling,Riesling
2000,82,Drink,"Plagued by rain and rot, with outstanding results from a handful of growers. Variable quality; choose carefully  (See all ratings)",Germany,Riesling,Riesling
1998,89,Drink or hold,"Ripe, sleek, crisp; fine dry wines, especially in the Pfalz, and exciting ice wines  (See all ratings)",Germany,Riesling,Riesling
1997,88,Drink or hold,"Pure, clear wines with lower acidity and little botrytis; best in Mosel-Saar-Ruwer  (See all ratings)",Germany,Riesling,Riesling
1996,89,Drink or hold,"Extremely late harvest; stunning in Rheingau. Perfumed, ripe, high in acidity; ageworthy, though stick to top producers  (See all ratings)",Germany,Riesling,Riesling
1995,88,Drink,"Top estates made the best wines; aromatic and fruity, with harmonious acidity  (See all ratings)",Germany,Riesling,Riesling
1990,97,Drink or hold,"Powerful, great acidity and extract, harmonious  (See all ratings)",Germany,Riesling,Riesling
1988,93,Drink,"Balanced, firm; best in middle Mosel  (See all ratings)",Germany,Riesling,Riesling
1985,87,Past peak,"Racy, well-structured; some problems in Rheingau, Pfalz  (See all ratings)",Germany,Riesling,Riesling
1983,93,Past peak,"Very fruity, ripe, round; little botrytis  (See all ratings)",Germany,Riesling,Riesling
1976,96,Drink,"Ripe, powerful; plenty of botrytis  (See all ratings)",Germany,Riesling,Riesling
2018,93,Drink or hold,"A cooler growing season yielded fresh, elegant Barolos, open-knit with vibrant acidity, light tannins and expressive fruit and floral flavors for earlier drinking  Roagna Barbaresco Pajè Vecchie Viti  Top-scoring wines (click for full tasting note):


Roagna Barolo Pira Vecchie Viti


Roagna Barbaresco Montefico Vecchie Viti


Roagna Barbaresco Pajè Vecchie Viti",Italy,Piedmont,Piedmont
2017,94,Drink or hold,"Spring rains mitigated the hot, dry summer, with an ideal September for ripening Nebbiolo. The best Barolos and Barbarescos are fresh and balanced, evoking red fruit flavors  Azelia Barolo Cerretta  Top-scoring wines (click for full tasting note):


Elvio Cogno Barolo Ravera Vigna Elena Riserva


Falletto di Bruno Giacosa Barolo Falletto Vigna Le Rocche Riserva


Azelia Barolo Cerretta",Italy,Piedmont,Piedmont
2016,98,Drink or hold,"A cooler year with a slow start and adequate rainfall resulted in a long growing season and ideal harvest conditions. Balanced, vibrant and tense Barolos; refined, elegant Barbarescos  Massolino Barolo Vigna Rionda Black Label Riserva  Top-scoring wines (click for full tasting note):


Cavallotto Barolo Bricco Boschis Vigna San Giuseppe Riserva


Falletto di Bruno Giacosa Barolo Falletto Vigna Le Rocche Riserva


Massolino Barolo Vigna Rionda Black Label Riserva",Italy,Piedmont,Piedmont
2015,95,Drink or Hold,"Winter snow and spring rain provided water reserves for the vines during the hot summer, resulting in vibrant Barolos with red fruit flavors and rich Barbarescos, all showing balance  Cascina Luisin Barbaresco Riserva  Top-scoring wines (click for full tasting note):


Roagna Barbaresco Asili Vecchie Viti


Roagna Barbaresco Crichët Pajé


Cascina Luisin Barbaresco Riserva",Italy,Piedmont,Piedmont
2014,92,Drink or hold,"Challenging growing season, wet and cool, with good September and October weather benefiting late-ripening Nebbiolo; better in Barbaresco due to less rain  Falletto di Bruno Giacosa Barolo Falletto Vigna Le Rocche Riserva  Top-scoring wines (click for full tasting note):


Falletto di Bruno Giacosa Barbaresco Asili Riserva


Falletto di Bruno Giacosa Barbaresco Rabajà


Falletto di Bruno Giacosa Barolo Falletto Vigna Le Rocche Riserva",Italy,Piedmont,Piedmont
2013,96,Hold,"A cooler growing season and late harvest resulted in wines of purity and finesse, with fine acidity; best Barolos since 2010  Aldo Conterno Barolo Granbussia Riserva  Top-scoring wines (click for full tasting note):


Giacomo Conterno Barolo Monfortino Riserva


Roagna Barbaresco Crichët Pajé


Aldo Conterno Barolo Granbussia Riserva",Italy,Piedmont,Piedmont
2012,94,Drink or hold,"Barolos are elegant, balanced and expressive, with fruit and savory elements; elegant, intense, even austere Barbarescos  Roagna Barbaresco Montefico Vecchie Viti  Top-scoring wines (click for full tasting note):


Cavallotto Barolo Bricco Boschis Vigna San Giuseppe Riserva


Falletto di Bruno Giacosa Barolo Falletto Vigna Le Rocche Riserva


Roagna Barbaresco Montefico Vecchie Viti",Italy,Piedmont,Piedmont
2011,93,Drink or hold,"Rich, fleshy Barolos and balanced Barbarescos; the best have vibrant structures for aging. A fine year for Barbera  Giuseppe Cortese Barbaresco Rabajà Riserva  Top-scoring wines (click for full tasting note):


Falletto di Bruno Giacosa Barolo Falletto Vigna Le Rocche Riserva


Roagna Barbaresco Crichët Pajé


Giuseppe Cortese Barbaresco Rabajà Riserva",Italy,Piedmont,Piedmont
2010,97,Drink or hold,"A cool growing season and ideal weather before harvest; pure, elegant and structured reds, with fine potential for aging  Aldo Conterno Barolo Granbussia Riserva  Top-scoring wines (click for full tasting note):


Aldo Conterno Barolo Cicala


Aldo Conterno Barolo Colonnello


Aldo Conterno Barolo Granbussia Riserva",Italy,Piedmont,Piedmont
2009,90,Drink,"A warm year with inconsistent ripening; the best reds offer immediate fruit and flesh, others show underripe tannins  (See all ratings)",Italy,Piedmont,Piedmont
2008,94,Drink or hold,"Warm late season rescued a cooler-than-average vintage; ripe reds show good structure, purity and elegance  (See all ratings)",Italy,Piedmont,Piedmont
2007,95,Drink or hold,"A warm, dry year; wines offer flesh and immediate appeal  (See all ratings)",Italy,Piedmont,Piedmont
2006,95,Drink or hold,"Many outstanding reds; cool weather made austere, muscular Nebbiolos with aging potential  (See all ratings)",Italy,Piedmont,Piedmont
2005,91,Drink,"Balanced and elegant reds, delivering fruit and ripe tannins for producers who worked well in the vineyard  (See all ratings)",Italy,Piedmont,Piedmont
