Vintage,Score,Drink Window,Description,Country,Region,Variety
2014,96,Drink or hold,"A very large crop was able to attain balance in a hot vintage  Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard  Top-scoring wines (click for full tasting note):


Eminent Domaine Pinot Noir Ribbon Ridge Reserve


Alloro Pinot Noir Chehalem Mountains Justina


Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard",United States,Oregon,Pinot Noir
2013,90,Drink or hold,"Rain turned a very ripe year into a light, uneven vintage  Bergström Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard  Top-scoring wines (click for full tasting note):


Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace


Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard


Bergström Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard",United States,Oregon,Pinot Noir
2012,97,Drink,Ideal conditions produced generous wines; not over the top  (See all ratings),United States,Oregon,Pinot Noir
2011,85,Past peak,"Light, bordering on fragile; tantalizing if flavorful enough  (See all ratings)",United States,Oregon,Pinot Noir
2010,94,Drink,"Best have real ripeness and depth, with modest alcohol  (See all ratings)",United States,Oregon,Pinot Noir
2009,90,Drink,"Supple structures, bold flavors  (See all ratings)",United States,Oregon,Pinot Noir
2008,96,Drink,"Perfect balance of light textures and rich, vivid flavors  (See all ratings)",United States,Oregon,Pinot Noir
2007,84,Past peak,"Delicate wines; some can benefit from cellaring, others weak  (See all ratings)",United States,Oregon,Pinot Noir
2006,92,Drink,"Ripe flavors, but fruit character mostly fresh, not dried  (See all ratings)",United States,Oregon,Pinot Noir
2005,93,Drink,"Like 2004, wines are superbly balanced  (See all ratings)",United States,Oregon,Pinot Noir
2004,93,Drink,"Clear, pure flavors and excellent balance  (See all ratings)",United States,Oregon,Pinot Noir
2003,87,Past peak,"Some great wines, but others are overripe  (See all ratings)",United States,Oregon,Pinot Noir
2002,95,Drink,"Extraordinary balance, pure flavors; some great wines  (See all ratings)",United States,Oregon,Pinot Noir
2001,91,Past peak,"Many elegant wines, but others reflect excessive yields  (See all ratings)",United States,Oregon,Pinot Noir
2000,90,Past peak,"Many intense wines, but beware those caught in late-season rain  (See all ratings)",United States,Oregon,Pinot Noir
1999,93,Drink,"Brilliantly flavorful, focused wines  (See all ratings)",United States,Oregon,Pinot Noir
1998,92,Drink,"Rich, classic wines; few poor bottles, some are tannic  (See all ratings)",United States,Oregon,Pinot Noir
2021,90–93,NYR,"Hottest growing season on record produced reds of power and density  Sleight of Hand Syrah Columbia Valley Levitation Reserve  Top-scoring wines (click for full tasting note):


Betz Syrah Walla Walla Valley Domaine de Pierres Ancient Stones Vineyard


Gorman Syrah-Cabernet Sauvignon Red Mountain The Evil Twin


Sleight of Hand Syrah Columbia Valley Levitation Reserve",United States,Washington,"Merlot, Cabernet and Syrah"
